;; Saldo inicial ;; 2024 ;; Saldo final ;;;;;C= Crédito;;;;;;
;;;;;;;;;;;D=Débito;;;;;;
;;;;;;;;;;;D y C= Débito y Crédito;;;;;;
;;;;;;;;;;;;;;;;;
Cons. ;Cuenta PUC; Débito ; Crédito ; Débito ; Crédito ; Débito ; Crédito ;Formulario;Concepto;Descripción;Naturaleza Cta.;Ubicación / Casilla;Formulario;Concepto;Descripción;Naturaleza Cta.;Ubicación / Casilla
35;13809501 DEUDORES VARIOS                                   ; 115.421.771,93 ;; 30.064.928,00 ;; 145.486.699,93 ;;1008;1317;Saldo de la cuenta por tercero (18);D MENOS C;(N) Saldo CXC a 31 diciembre;;;;;
36;13809502 CUENTAS POR COBRAR (REDRAGON); 3.057.369,05 ;;;; 3.057.369,05 ;;1008;1317;Saldo de la cuenta por tercero (18);D MENOS C;(N) Saldo CXC a 31 diciembre;;;;;
37;14300501 PRODUCTOS MANUFACTURADOS                          ;;;2390000;;2390000;;1001;5007;Sumatoria de valor por tercero (3);D;(M) Pago o abono en cuenta deducible;;;;;
38;14350101 PRODUCTOS GRAVADOS CON IVA                        ;2059272798;;33568624813;21908768824;13719128787;;1001;5007;Sumatoria de valor por tercero (3);D;(M) Pago o abono en cuenta deducible;;;;;
39;14350102 PRODUCTOS EXENTOS DE IVA                          ;503226425,6;;1774611001;521292116,5;1756545310;;1001;5007;Sumatoria de valor por tercero (3);D;(M) Pago o abono en cuenta deducible;;;;;
40;14650501 INVENTARIO EN TRANSITO                            ; 513.833.417,72 ;; 415.423.961.903,38 ; 374.848.418,17 ; 415.562.946.902,93 ;;;;;;;;;;;
41;14650502 FLETES INTERNACIONALES; 169.255,00 ;; 226.113.387,37 ;; 226.282.642,37 ;;;;;;;;;;;
42;14650503 SEGUROS INTERNACIONALES;;;;;;;;;;;;;;;;
43;14650504 GASTOS DE NACIONALIZACION;;; 460.129.866,13 ; 3.196.859,00 ; 456.933.007,13 ;;;;;;;;;;;
44;14650505 ARANCELES;;; 52.143.000,00 ;; 52.143.000,00 ;;;;;;;;;;;
