;; Saldo inicial ;; 2024 ;; Saldo final ;;;;;C= Crédito;;;;;;
;;;;;;;;;;;D=Débito;;;;;;
;;;;;;;;;;;D y C= Débito y Crédito;;;;;;
;;;;;;;;;;;;;;;;;
Cons. ;Cuenta PUC; Débito ; Crédito ; Débito ; Crédito ; Débito ; Crédito ;Formulario;Concepto;Descripción;Naturaleza Cta.;Ubicación / Casilla;Formulario;Concepto;Descripción;Naturaleza Cta.;Ubicación / Casilla
137;23700505 FAMISANAR E.P.S.                                  ;; 412.400,00 ; 3.596.577,00 ; 5.620.047,00 ;; 2.435.870,00 ;2276;;Sumatoria de valor por empleado (21);C;(AD) Aportes obligatorios por salud a cargo del trab;1009;2214;Saldo de la cuenta (23);D y C;(N) Saldo CXP a 31 diciembre
138;23700506 NUEVA E.P.S.                                      ;; 349.400,00 ; 3.327.304,00 ; 4.639.962,00 ;; 1.662.058,00 ;2276;;Sumatoria de valor por empleado (21);C;(AD) Aportes obligatorios por salud a cargo del trab;1009;2214;Saldo de la cuenta (23);D y C;(N) Saldo CXP a 31 diciembre
139;23700507 SALUD TOTAL                                       ;; 246.200,00 ; 1.956.570,00 ; 2.762.404,00 ;; 1.052.034,00 ;2276;;Sumatoria de valor por empleado (21);C;(AD) Aportes obligatorios por salud a cargo del trab;1009;2214;Saldo de la cuenta (23);D y C;(N) Saldo CXP a 31 diciembre
140;23700510 CONFENALCO VALLE;; 215.400,00 ; 689.400,00 ; 474.000,00 ;;;2276;;Sumatoria de valor por empleado (21);C;(AD) Aportes obligatorios por salud a cargo del trab;1009;2214;Saldo de la cuenta (23);D y C;(N) Saldo CXP a 31 diciembre
141;23700602 ARL SURA;; 565.000,00 ; 3.208.900,00 ; 2.653.400,00 ;; 9.500,00 ;1009;2214;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
142;23701001 APORTES AL ICBF                                   ;; 726.600,00 ; 726.600,00 ;;;;1009;2214;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
143;23701002 APORTES AL SENA                                   ;; 484.400,00 ; 484.400,00 ;;;;1009;2214;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
144;23701003 APORTES A COMPENSAR                               ;; 3.948.600,00 ; 23.385.300,00 ; 19.535.800,00 ;; 99.100,00 ;1009;2214;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
145;23701005 APORTES COMFAMILIAR ATLANTICO;; 92.900,00 ; 563.600,00 ; 525.100,00 ;; 54.400,00 ;1009;2214;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
146;23701006 APORTES COMFANDI;; 215.400,00 ; 689.400,00 ; 474.000,00 ;;;1009;2214;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
147;23701008 APORTES COMFACOR;; 60.400,00 ; 481.900,00 ; 383.700,00 ; 37.800,00 ;;1009;2214;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
148;23803001 PORVENIR                                          ;; 3.823.700,00 ; 28.740.319,00 ; 31.696.670,00 ;; 6.780.051,00 ;2276;;Sumatoria de valor por empleado (21);C;(AE) Aportes obligatorios pension, FSP;1009;2214;Saldo de la cuenta (23);D y C;(N) Saldo CXP a 31 diciembre
149;23803002 COLFONDOS                                         ;; 593.300,00 ; 4.205.804,00 ; 4.221.155,00 ;; 608.651,00 ;2276;;Sumatoria de valor por empleado (21);C;(AE) Aportes obligatorios pension, FSP;1009;2214;Saldo de la cuenta (23);D y C;(N) Saldo CXP a 31 diciembre
150;23803003 OLD MUTUAL                                        ;; 4.207.000,00 ; 19.888.954,00 ; 18.724.461,00 ;; 3.042.507,00 ;2276;;Sumatoria de valor por empleado (21);C;(AE) Aportes obligatorios pension, FSP;1009;2214;Saldo de la cuenta (23);D y C;(N) Saldo CXP a 31 diciembre
151;23803004 PROTECCION                                        ;; 8.041.500,00 ; 44.836.635,00 ; 42.376.296,00 ;; 5.581.161,00 ;2276;;Sumatoria de valor por empleado (21);C;(AE) Aportes obligatorios pension, FSP;1009;2214;Saldo de la cuenta (23);D y C;(N) Saldo CXP a 31 diciembre
152;23803005 COLPENSIONES                                      ;; 1.130.200,00 ; 9.263.244,00 ; 9.908.497,00 ;; 1.775.453,00 ;2276;;Sumatoria de valor por empleado (21);C;(AE) Aportes obligatorios pension, FSP;1009;2214;Saldo de la cuenta (23);D y C;(N) Saldo CXP a 31 diciembre
153;24040501 IMPUESTO DE RENTA Y COMPLEMENTARIOS POR PAGAR     ;; 299.515.000,00 ;;;; 299.515.000,00 ;;;;;;;;;;
154;24080501 IVA GENERADO EN VENTAS DEL 19%                    ;;; 4.309.700.745,54 ; 6.052.927.860,29 ;; 1.743.227.114,75 ;1006;;Sumatoria de valor por tercero (13);C;(I) Impuesto Generado;;;;;
155;24080503 DEVOLUCIONES EN COMPRAS 19%                       ;;; 489.596.936,35 ; 499.741.369,37 ;; 10.144.433,02 ;1006;;Sumatoria de valor por tercero (13);D;(J) IVA recuperado en devoluciones;;;;;
156;24081001 COMPRAS AL 19%                                    ;;; 932.633.714,00 ; 577.220.235,62 ; 355.413.478,38 ;;1005;;Sumatoria de valor por tercero (12);D;(I) Impuesto descontable;;;;;
157;24081002 SERVICIOS AL 19%                                  ;;; 214.814.232,24 ; 157.221.598,95 ; 57.592.633,29 ;;1005;;Sumatoria de valor por tercero (12);D;(I) Impuesto descontable;;;;;
158;24081005 IMPORTACIONES AL 19%                              ;;; 2.170.832.000,00 ; 1.714.244.000,00 ; 456.588.000,00 ;;1005;;Sumatoria de valor por tercero (12);D;(I) Impuesto descontable;;;;;
159;24082001 IVA EN DEVOLUCIÓN DE VENTA 19%;;; 1.574.841.892,65 ; 1.004.501.926,39 ; 570.339.966,26 ;;1005;;Sumatoria de valor por tercero (12);C;(J) IVA resultante devoluciones VENTAS;;;;;
160;24089901 IVA POR PAGAR                                     ;; 369.871.000,00 ; 18.805.000,00 ; 428.308.000,00 ;; 779.374.000,00 ;;;;;;;;;;
161;24120501 INDUSTRIA Y COMERCIO POR PAGAR                    ;; 61.242.000,00 ; 8.109.000,00 ; 46.938.000,00 ;; 100.071.000,00 ;;;;;;;;;;
162;25050501 SALARIOS POR PAGAR                                ;; 100.129.110,00 ; 734.289.228,00 ; 989.597.269,00 ;; 355.437.151,00 ;1009;2215;Saldo de la cuenta por tercero (22);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
163;25101001 CESANTIAS CONSOLIDADAS                            ;; 77.228.195,00 ; 4.712.952,00 ; 42.020.280,66 ;; 114.535.523,66 ;2276;;Sumatoria de valor por empleado (21);D;(Y) Cesantias e ints, efectivamente pagadas CTA 26;;;;;
164;25150501 INTERESES SOBRE CESANTIAS                         ;; 8.620.273,00 ; 152.661,00 ; 5.041.695,04 ;; 13.509.307,04 ;2276;;Sumatoria de valor por empleado (21);D;(Y) Cesantias e ints, efectivamente pagadas CTA 26;1009;2215;Saldo de la cuenta (24);D y C;(N) Saldo CXP a 31 diciembre
165;25250501 VACACIONES CONSOLIDADES                           ;; 100.985.058,37 ; 26.401.013,00 ; 20.711.346,96 ;; 95.295.392,33 ;2276;;Sumatoria de valor por empleado (21);D;(S) Pagos por prestaciones sociales;1009;2215;Saldo de la cuenta (24);D y C;(N) Saldo CXP a 31 diciembre
166;25300501 PRIMA DE SERVICIOS                                ;;; 4.712.952,00 ; 42.020.730,48 ;; 37.307.778,48 ;2276;;Sumatoria de valor por empleado (21);D;(S) Pagos por prestaciones sociales;;;;;
167;28050501 ANTICIPO DE CLIENTES                              ;; 68.974.799,92 ; 11.614.221,00 ; 11.127.520,94 ;; 68.488.099,86 ;1009;2206;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
168;28059501 ANTICIPO IMPUESTOS (LEGALIZACIONES)               ;;; 66.565.631,00 ; 44.226.408,00 ; 22.339.223,00 ;;1009;2206;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
169;28059901 ANTICIPOS;;; 217.800,00 ;; 217.800,00 ;;1009;2206;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
170;28950505 PARTIDAS CONCILIATORIAS                           ;;;;;;;1009;2206;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
171;28950506 CUENTAS POR PAGAR CLIENTES (REDRAGON);; 3.057.369,05 ;;;; 3.057.369,05 ;1009;2206;Saldo de la cuenta por tercero (21);C MENOS D;(N) Saldo CXP a 31 diciembre;;;;;
172;31050501 CAPITAL AUTORIZADO                                ;; 300.000.000,00 ;;;; 300.000.000,00 ;;;;;;;;;;
173;33050501 RESERVA LEGAL 2020                                ;; 36.610.305,00 ;;;; 36.610.305,00 ;;;;;;;;;;
174;33050502 RESERVA LEGAL 2021                                ;; 16.668.969,00 ;;;; 16.668.969,00 ;;;;;;;;;;
175;33050503 RESERVA LEGAL 2022;; 29.835.740,00 ;;;; 29.835.740,00 ;;;;;;;;;;
176;36050501 GANANCIA DEL EJERCICIO                            ;; 294.325.615,13 ;;;; 294.325.615,13 ;;;;;;;;;;
177;37050101 UTILIDADES O EXCEDENTES ACUMULADAS                ;; 1.089.460.272,00 ;;;; 1.089.460.272,00 ;;;;;;;;;;
178;413595 Venta de Otros Productos;;; 2.978.395,00 ; 3.817.802,00 ;; 839.407,00 ;1007;4001;Sumatoria de valor por tercero (14);C;(J) Ingresos brutos recibidos;;;;;
179;41359501 PRODUCTOS GRAVADOS 19%                            ;;; 2.379.460.498,19 ; 35.008.678.046,50 ;; 32.629.217.548,31 ;1007;4001;Sumatoria de valor por tercero (14);C;(J) Ingresos brutos recibidos;;;;;
180;41359502 PRODUCTOS EXENTOS DE IVA                          ;;; 41.624.927,70 ; 1.039.074.274,67 ;; 997.449.346,97 ;1007;4001;Sumatoria de valor por tercero (14);C;(J) Ingresos brutos recibidos;;;;;
181;41359503 OTROS PRODUCTOS                                   ;;; 21.124.161,00 ; 197.684,00 ; 20.926.477,00 ;;1007;4001;Sumatoria de valor por tercero (14);C;(J) Ingresos brutos recibidos;;;;;
182;41750501 PRODUCTOS GRAVADOS AL 19%                        ;;; 8.368.650.125,02 ; 7.320.641,00 ; 8.361.329.484,02 ;;1007;4001;Sumatoria de valor por tercero (14);D;(K) Ingresos brutos recibidos;;;;;
183;41750502 PRODUCTOS EXENTOS DE IVA                          ;;; 47.376.327,70 ;; 47.376.327,70 ;;1007;4001;Sumatoria de valor por tercero (14);D;(K) Ingresos brutos recibidos;;;;;
184;41750503 DEVOLUCIONES GENERALES                            ;;; 20.485.157,62 ;; 20.485.157,62 ;;1007;4001;Sumatoria de valor por tercero (14);D;(K) Ingresos brutos recibidos;;;;;
185;421020 Diferencia en Cambio;;; 614.581.376,38 ; 614.581.376,38 ;;;1007;4002;Sumatoria de valor por tercero (15);NO;(J) Ingresos brutos recibidos;;;;;
186;42102001 DIFERENCIA EN CAMBIO;;;; 196.870.410,09 ;; 196.870.410,09 ;1007;4002;Sumatoria de valor por tercero (15);C;(J) Ingresos brutos recibidos;;;;;
187;42104001 DESCUENTOS COMERCIALES                            ;;; 86.833.728,41 ; 351.334.774,32 ;; 264.501.045,91 ;1007;4002;Sumatoria de valor por tercero (15);C;(J) Ingresos brutos recibidos;;;;;
188;42104501 DESCUENTOS BANCARIOS                              ;;;; 6.920,00 ;; 6.920,00 ;1007;4002;Sumatoria de valor por tercero (15);C;(J) Ingresos brutos recibidos;;;;;
189;42109501 INTERESES (INGRESO)                               ;;;; 680.693,85 ;; 680.693,85 ;1007;4003;Sumatoria de valor por tercero (15);C;(J) Ingresos brutos recibidos;;;;;
190;42351001 SERVICIO FLETES Y TRANSPORTE;;; 282.500,00 ; 12.845.800,00 ;; 12.563.300,00 ;1007;4002;Sumatoria de valor por tercero (15);C;(J) Ingresos brutos recibidos;;;;;
191;42503001 DESCUENTOS COMERCIALES CONCEDIDOS                 ;;;; 46.345.458,00 ;; 46.345.458,00 ;1007;4002;Sumatoria de valor por tercero (15);C;(J) Ingresos brutos recibidos;;;;;
192;42958101 AJUSTE AL PESO                                    ;;; 2,58 ; 9.172,46 ;; 9.169,88 ;1007;4002;Sumatoria de valor por tercero (15);C;(J) Ingresos brutos recibidos;;;;;
193;51050601 SUELDOS                                           ;;; 596.447.711,00 ; 44.911.266,00 ; 551.536.445,00 ;;2276;;Sumatoria de valor por empleado (21);D;(L) Pagos por salarios;;;;;
194;51052401 INCAPACIDADES                                     ;;; 5.208.020,00 ; 2.020.135,00 ; 3.187.885,00 ;;2276;;Sumatoria de valor por empleado (21);D;(L) Pagos por salarios;;;;;
195;51052701 AUXILIO DE TRANSPORTE                             ;;; 1.911.600,00 ;; 1.911.600,00 ;;2276;;Sumatoria de valor por empleado (21);D;(L) Pagos por salarios;;;;;
196;51053001 CESANTIAS                                         ;;; 25.556.985,34 ;; 25.556.985,34 ;;;;;;;;;;;
197;51053301 INTERESES SOBRE CESANTIAS                         ;;; 3.023.674,45 ;; 3.023.674,45 ;;;;;;;;;;;
198;51053601 PRIMA DE SERVICIOS                                ;;; 25.550.277,16 ;; 25.550.277,16 ;;;;;;;;;;;
199;51053901 VACACIONES                                        ;;; 22.397.674,27 ; 3.633.127,00 ; 18.764.547,27 ;;;;;;;;;;;
200;51054801 BONIFICACIONES                                    ;;; 8.098.552,00 ;; 8.098.552,00 ;;2276;;Sumatoria de valor por empleado (21);D;(L) Pagos por salarios;;;;;
201;51055101 DOTACION Y SUMINISTRO A TRABAJADORES              ;;; 37.346.932,05 ; 41.789,00 ; 37.305.143,05 ;;;;;;;;;;;
202;51056802 ARL SURA                                          ;;; 1.470.500,00 ;; 1.470.500,00 ;;1001;5011;Sumatoria de valor por tercero (6);D;(M) Pago o abono en cuenta deducible;;;;;
203;51056906 NUEVA E.P.S.                                      ;;; 981.031,00 ;; 981.031,00 ;;;;;;;;;;;
204;51057001 PROTECCION                                        ;;; 16.018.714,00 ;; 16.018.714,00 ;;1001;5012;Sumatoria de valor por tercero (7);D;(M) Pago o abono en cuenta deducible;;;;;
205;51057002 COLFONDOS                                         ;;; 405.584,00 ;; 405.584,00 ;;1001;5012;Sumatoria de valor por tercero (7);D;(M) Pago o abono en cuenta deducible;;;;;
206;51057004 PORVENIR                                          ;;; 16.260.270,00 ;; 16.260.270,00 ;;1001;5012;Sumatoria de valor por tercero (7);D;(M) Pago o abono en cuenta deducible;;;;;
207;51057005 COLPENSIONES                                      ;;; 3.072.100,00 ;; 3.072.100,00 ;;1001;5012;Sumatoria de valor por tercero (7);D;(M) Pago o abono en cuenta deducible;;;;;
208;51057201 COMPENSAR C.C.F.                                  ;;; 11.503.800,00 ;; 11.503.800,00 ;;1001;5010;Sumatoria de valor por tercero (5);D;(M) Pago o abono en cuenta deducible;;;;;
209;51059501 OTROS GASTOS DE PERSONAL                          ;;; 24.451.200,00 ; 2.068.200,00 ; 22.383.000,00 ;;2276;;Sumatoria de valor por empleado (21);D;(L) Pagos por salarios;;;;;
210;51101001 REVISORIA FISCAL                                  ;;; 16.030.000,00 ;; 16.030.000,00 ;;1001;5002;Sumatoria de valor por tercero (0);D;(M) Pago o abono en cuenta deducible;;;;;
211;51101501 AUDITORIA EXTERNA;;; 1.250.000,00 ;; 1.250.000,00 ;;1001;5002;Sumatoria de valor por tercero (0);D;(M) Pago o abono en cuenta deducible;;;;;
212;51102501 ASESORIA JURIDICA                                 ;;; 2.470.834,00 ;; 2.470.834,00 ;;1001;5002;Sumatoria de valor por tercero (0);D;(M) Pago o abono en cuenta deducible;;;;;
213;51150501 INDUSTRIA Y COMERCIO                              ;;; 150.628.548,00 ;; 150.628.548,00 ;;1001;5015;Sumatoria de valor por tercero (8);D;(M) Pago o abono en cuenta deducible;;;;;
214;51201001 CONSTRUCCIONES Y EDIFICACIONES                    ;;; 158.565.668,00 ; 8.725.351,00 ; 149.840.317,00 ;;1001;5005;Sumatoria de valor por tercero (2);D;(M) Pago o abono en cuenta deducible;;;;;
215;51209502 ALQUILER ESPACIO WEWORD;;; 11.000.000,00 ;; 11.000.000,00 ;;1001;5005;Sumatoria de valor por tercero (2);D;(M) Pago o abono en cuenta deducible;;;;;
216;51301001 CUMPLIMIENTO                                      ;;; 323.042,40 ;; 323.042,40 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
217;51350501 SERV ASEO Y VIGILANCIA                            ;;; 7.614.770,00 ;; 7.614.770,00 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
218;51352001 PROCESAMIENTO ELECTRONICO DE DATOS                ;;; 120.165.667,60 ; 10.685.201,73 ; 109.480.465,87 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
219;51352002 OPERACION DIGITAL                                 ;;; 139.900,00 ;; 139.900,00 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
220;51352501 ACUEDUCTO Y ALCANTARILLADO                        ;;; 1.622.490,00 ;; 1.622.490,00 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
221;51353001 ENERGIA ELECTRICA                                 ;;; 4.459.200,00 ;; 4.459.200,00 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
222;51353501 SERVICIO TELEFONICO                               ;;; 16.656.877,01 ;; 16.656.877,01 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
223;51354001 CORREO PORTES Y TELEGRAMAS                        ;;; 6.412.579,32 ; 47.775,63 ; 6.364.803,69 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
224;51355001 TRANSPORTE FLETES Y ACARREOS                      ;;; 62.995.709,84 ; 3.394.677,15 ; 59.601.032,69 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
225;51359501 OTROS SERVICIOS                                   ;;; 4.990.000,00 ;; 4.990.000,00 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
226;51400501 NOTARIALES                                        ;;; 88.800,00 ;; 88.800,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
227;51401001 REGISTRO MERCANTIL                                ;;; 9.613.500,00 ;; 9.613.500,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
228;51451001 CONSTRUCCIONES Y EDIFICACIONES                    ;;; 30.250,00 ;; 30.250,00 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
229;51452001 MTO. EQUIPO DE OFICINA                            ;;; 1.856.369,37 ; 289.914,31 ; 1.566.455,06 ;;1001;5004;Sumatoria de valor por tercero (1);D;(M) Pago o abono en cuenta deducible;;;;;
230;51550501 ALOJAMIENTO Y MANUTENCION                         ;;; 2.238.699,00 ;; 2.238.699,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
231;51551501 PASAJES AEREOS                                    ;;; 2.467.174,00 ;; 2.467.174,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
232;51552001 PASAJES TERRESTRES                                ;;; 267.300,00 ;; 267.300,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
233;51609501 CONSTRUCCIONES Y EDIFICACIONES                    ;;; 485.206,00 ;; 485.206,00 ;;;;;;;;;;;
234;51609503 EQUIPO DE OFICINA                                 ;;; 153.600,00 ;; 153.600,00 ;;;;;;;;;;;
235;51950501 COMISIONES                                        ;;; 9.337.068,00 ;; 9.337.068,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
236;51952001 GASTOS DE REPRESENTACION Y RELACIONES PU          ;;; 1.065.163,00 ;; 1.065.163,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
237;51952501 ELEMENTOS DE ASEO Y CAFETERIA                     ;;; 7.051.580,33 ; 1.778.400,00 ; 5.273.180,33 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
238;51953001 UTILES PAPELERIA Y FOTOCOPIAS                     ;;; 3.034.528,10 ; 80.000,00 ; 2.954.528,10 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
239;51954001 CINTAS PARA EMPAQUE                               ;;; 2.960.583,00 ; 15.900,00 ; 2.944.683,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
240;51954002 ETIQUETAS PARA EMPAQUE                            ;;; 16.354.922,25 ; 63.025,20 ; 16.291.897,05 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
241;51954003 CAJAS PARA EMPAQUE                                ;;; 10.601.000,00 ; 1.500.000,00 ; 9.101.000,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
242;51954004 PLASTICOS PARA EMPAQUE Y BOLSAS                   ;;; 1.994.165,00 ;; 1.994.165,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
243;519545 Taxis y Buses;;; 353.670,00 ;; 353.670,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
244;51954501 TAXIS Y BUSES                                     ;;; 18.821.377,00 ;; 18.821.377,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
245;51956001 CASINO Y RESTAURANTE                              ;;; 7.387.747,15 ;; 7.387.747,15 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
246;51957001 INDEMNIZACION POR DA¥OS A TERCEROS                ;;; 4.640.000,00 ;; 4.640.000,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
247;51959501 OTROS                                             ;;; 7.112.321,00 ;; 7.112.321,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
248;51959502 EXAMENES MEDICOS                                  ;;; 1.884.800,00 ;; 1.884.800,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
249;51959503 ACTIVOS MENORES                                   ;;; 4.350.400,00 ;; 4.350.400,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
250;51959504 EMERGENCIA COVID-19                               ;;; 252.630,00 ;; 252.630,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
251;51959505 OBSEQUIOS                                         ;;; 300.000,00 ; 0,10 ; 299.999,90 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
252;51959507 BONOS EMPLEADOS NO SALARIALES                     ;;; 372.605.282,00 ; 400.000,00 ; 372.205.282,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
253;51959508 GASTOS ADMINISTRATIVOS FUNZA                      ;;; 3.135.000,00 ;; 3.135.000,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
254;51959510 EVENTOS COLTRADE;;; 7.450.044,00 ; 1.150.000,00 ; 6.300.044,00 ;;1001;5016;Sumatoria de valor por tercero (9);D;(M) Pago o abono en cuenta deducible;;;;;
255;52050601 SUELDOS                                           ;;; 347.249.354,00 ; 37.637.248,00 ; 309.612.106,00 ;;2276;;Sumatoria de valor por empleado (21);D;(L) Pagos por salarios;;;;;
256;52051501 H E DIURNA ORDINARIA                              ;;; 2.338.413,00 ; 85.138,00 ; 2.253.275,00 ;;2276;;Sumatoria de valor por empleado (21);D;(L) Pagos por salarios;;;;;
257;52051503 H E DIURNA FESTIVA                                ;;; 5.207.337,00 ; 53.212,00 ; 5.154.125,00 ;;2276;;Sumatoria de valor por empleado (21);D;(L) Pagos por salarios;;;;;
258;52051801 COMISIONES                                        ;;; 83.178,00 ;; 83.178,00 ;;2276;;Sumatoria de valor por empleado (21);D;(L) Pagos por salarios;;;;;
259;52052401 INCAPACIDADES                                     ;;; 476.374,00 ; 95.275,00 ; 381.099,00 ;;2276;;Sumatoria de valor por empleado (21);D;(L) Pagos por salarios;;;;;
260;52052701 AUXILIO DE TRANSPORTE                             ;;; 6.026.400,00 ; 469.800,00 ; 5.556.600,00 ;;2276;;Sumatoria de valor por empleado (21);D;(L) Pagos por salarios;;;;;
261;52053001 CESANTIAS                                         ;;; 18.086.438,32 ;; 18.086.438,32 ;;;;;;;;;;;
262;52053301 INTERESS SOBRE CESANTIAS                          ;;; 2.018.020,59 ;; 2.018.020,59 ;;;;;;;;;;;
263;52053601 PRIMA DE SERVICIOS                                ;;; 18.060.183,32 ;; 18.060.183,32 ;;;;;;;;;;;
264;52053901 VACACIONES                                        ;;; 13.339.425,69 ; 725.000,00 ; 12.614.425,69 ;;;;;;;;;;;
265;52054801 BONIFICACIONES                                    ;;; 54.567.973,00 ; 14.926.997,00 ; 39.640.976,00 ;;2276;;Sumatoria de valor por empleado (21);D;(L) Pagos por salarios;;;;;
266;52056802 ARL SURA                                          ;;; 1.182.900,00 ;; 1.182.900,00 ;;1001;5011;Sumatoria de valor por tercero (6);D;(M) Pago o abono en cuenta deducible;;;;;
267;52057001 PROTECCION                                        ;;; 10.418.579,00 ;; 10.418.579,00 ;;1001;5012;Sumatoria de valor por tercero (7);D;(M) Pago o abono en cuenta deducible;;;;;
268;52057002 COLFONDOS                                         ;;; 2.123.734,00 ;; 2.123.734,00 ;;1001;5012;Sumatoria de valor por tercero (7);D;(M) Pago o abono en cuenta deducible;;;;;
269;52057003 OLD MUTUAL                                        ;;; 10.223.885,00 ;; 10.223.885,00 ;;1001;5012;Sumatoria de valor por tercero (7);D;(M) Pago o abono en cuenta deducible;;;;;
270;52057004 PORVENIR                                          ;;; 1.700.364,00 ;; 1.700.364,00 ;;1001;5012;Sumatoria de valor por tercero (7);D;(M) Pago o abono en cuenta deducible;;;;;
271;52057005 COLPENSIONES                                      ;;; 2.773.047,00 ;; 2.773.047,00 ;;1001;5012;Sumatoria de valor por tercero (7);D;(M) Pago o abono en cuenta deducible;;;;;
272;52057201 COMPENSAR C.C.F.                                  ;;; 8.032.000,00 ;; 8.032.000,00 ;;1001;5010;Sumatoria de valor por tercero (5);D;(M) Pago o abono en cuenta deducible;;;;;
273;52057203 COMFAMILIAR ATLANTICO;;; 525.100,00 ;; 525.100,00 ;;1001;5010;Sumatoria de valor por tercero (5);D;(M) Pago o abono en cuenta deducible;;;;;
274;52057204 COMFANDI;;; 474.000,00 ;; 474.000,00 ;;1001;5010;Sumatoria de valor por tercero (5);D;(M) Pago o abono en cuenta deducible;;;;;
275;52057206 COMFACOR;;; 383.700,00 ;; 383.700,00 ;;1001;5010;Sumatoria de valor por tercero (5);D;(M) Pago o abono en cuenta deducible;;;;;
276;52059501 OTROS                                             ;;; 6.971.400,00 ; 486.000,00 ; 6.485.400,00 ;;2276;;Sumatoria de valor por empleado (21);D;(L) Pagos por salarios;;;;;
